DATE,IQ
1983-09-01,85.7
1983-10-01,.
1983-11-01,.
1983-12-01,85.4
1984-01-01,.
1984-02-01,.
1984-03-01,85.9
1984-04-01,.
1984-05-01,.
1984-06-01,87.1
1984-07-01,.
1984-08-01,.
1984-09-01,85.1
1984-10-01,.
1984-11-01,.
1984-12-01,84.2
1985-01-01,.
1985-02-01,.
1985-03-01,84.0
1985-04-01,.
1985-05-01,.
1985-06-01,84.4
1985-07-01,.
1985-08-01,.
1985-09-01,83.7
1985-10-01,.
1985-11-01,.
1985-12-01,83.8
1986-01-01,.
1986-02-01,.
1986-03-01,83.6
1986-04-01,.
1986-05-01,.
1986-06-01,83.3
1986-07-01,.
1986-08-01,.
1986-09-01,82.4
1986-10-01,.
1986-11-01,.
1986-12-01,83.3
1987-01-01,.
1987-02-01,.
1987-03-01,84.3
1987-04-01,.
1987-05-01,.
1987-06-01,86.0
1987-07-01,.
1987-08-01,.
1987-09-01,86.6
1987-10-01,.
1987-11-01,.
1987-12-01,88.3
1988-01-01,.
1988-02-01,.
1988-03-01,89.8
1988-04-01,.
1988-05-01,.
1988-06-01,92.2
1988-07-01,.
1988-08-01,.
1988-09-01,94.1
1988-10-01,.
1988-11-01,.
1988-12-01,93.8
1989-01-01,94.9
1989-02-01,94.6
1989-03-01,95.2
1989-04-01,95.0
1989-05-01,95.4
1989-06-01,95.2
1989-07-01,94.7
1989-08-01,94.0
1989-09-01,94.4
1989-10-01,94.6
1989-11-01,94.2
1989-12-01,94.4
1990-01-01,95.2
1990-02-01,94.6
1990-03-01,94.8
1990-04-01,95.1
1990-05-01,95.3
1990-06-01,95.1
1990-07-01,95.3
1990-08-01,95.4
1990-09-01,95.8
1990-10-01,96.6
1990-11-01,96.7
1990-12-01,96.3
1991-01-01,96.8
1991-02-01,96.7
1991-03-01,96.4
1991-04-01,96.6
1991-05-01,96.4
1991-06-01,96.1
1991-07-01,95.7
1991-08-01,96.0
1991-09-01,95.6
1991-10-01,96.6
1991-11-01,96.7
1991-12-01,95.7
1992-01-01,95.7
1992-02-01,96.3
1992-03-01,96.2
1992-04-01,96.4
1992-05-01,96.7
1992-06-01,96.5
1992-07-01,96.6
1992-08-01,96.3
1992-09-01,96.6
1992-10-01,96.3
1992-11-01,96.2
1992-12-01,96.3
1993-01-01,96.4
1993-02-01,96.7
1993-03-01,96.6
1993-04-01,96.8
1993-05-01,97.1
1993-06-01,96.9
1993-07-01,97.0
1993-08-01,97.0
1993-09-01,96.9
1993-10-01,96.9
1993-11-01,97.0
1993-12-01,97.3
1994-01-01,98.0
1994-02-01,98.0
1994-03-01,98.2
1994-04-01,98.2
1994-05-01,98.5
1994-06-01,98.5
1994-07-01,98.7
1994-08-01,98.9
1994-09-01,99.1
1994-10-01,99.7
1994-11-01,100.4
1994-12-01,101.1
1995-01-01,101.9
1995-02-01,102.5
1995-03-01,103.0
1995-04-01,104.0
1995-05-01,104.3
1995-06-01,104.5
1995-07-01,104.8
1995-08-01,104.3
1995-09-01,104.4
1995-10-01,104.5
1995-11-01,104.5
1995-12-01,104.4
1996-01-01,104.9
1996-02-01,104.7
1996-03-01,104.6
1996-04-01,105.2
1996-05-01,105.6
1996-06-01,105.4
1996-07-01,104.9
1996-08-01,104.7
1996-09-01,103.9
1996-10-01,103.6
1996-11-01,103.2
1996-12-01,103.2
1997-01-01,103.3
1997-02-01,103.5
1997-03-01,103.6
1997-04-01,103.6
1997-05-01,103.4
1997-06-01,103.2
1997-07-01,103.2
1997-08-01,103.2
1997-09-01,102.9
1997-10-01,102.5
1997-11-01,102.5
1997-12-01,102.0
1998-01-01,101.3
1998-02-01,101.0
1998-03-01,100.7
1998-04-01,100.3
1998-05-01,100.4
1998-06-01,99.9
1998-07-01,99.5
1998-08-01,99.0
1998-09-01,98.5
1998-10-01,98.4
1998-11-01,98.6
1998-12-01,98.5
1999-01-01,98.5
1999-02-01,98.3
1999-03-01,97.9
1999-04-01,98.1
1999-05-01,98.2
1999-06-01,98.2
1999-07-01,98.1
1999-08-01,98.4
1999-09-01,98.5
1999-10-01,98.8
1999-11-01,99.0
1999-12-01,99.0
2000-01-01,99.2
2000-02-01,99.6
2000-03-01,100.0
2000-04-01,100.0
2000-05-01,100.2
2000-06-01,100.1
2000-07-01,100.0
2000-08-01,99.8
2000-09-01,100.4
2000-10-01,100.3
2000-11-01,100.3
2000-12-01,100.1
2001-01-01,100.3
2001-02-01,100.2
2001-03-01,100.0
2001-04-01,99.9
2001-05-01,99.6
2001-06-01,99.4
2001-07-01,99.0
2001-08-01,98.8
2001-09-01,99.0
2001-10-01,98.3
2001-11-01,97.8
2001-12-01,97.6
2002-01-01,97.5
2002-02-01,97.3
2002-03-01,97.6
2002-04-01,98.0
2002-05-01,98.0
2002-06-01,98.0
2002-07-01,98.3
2002-08-01,98.5
2002-09-01,98.8
2002-10-01,98.7
2002-11-01,98.8
2002-12-01,98.6
2003-01-01,98.9
2003-02-01,99.5
2003-03-01,99.7
2003-04-01,99.6
2003-05-01,99.7
2003-06-01,99.5
2003-07-01,99.4
2003-08-01,99.4
2003-09-01,99.8
2003-10-01,100.0
2003-11-01,100.5
2003-12-01,100.8
2004-01-01,101.5
2004-02-01,102.2
2004-03-01,103.0
2004-04-01,103.7
2004-05-01,104.1
2004-06-01,103.4
2004-07-01,103.9
2004-08-01,103.4
2004-09-01,103.8
2004-10-01,104.4
2004-11-01,104.7
2004-12-01,104.8
2005-01-01,105.6
2005-02-01,105.7
2005-03-01,106.4
2005-04-01,106.9
2005-05-01,106.7
2005-06-01,106.7
2005-07-01,106.8
2005-08-01,106.6
2005-09-01,107.5
2005-10-01,108.3
2005-11-01,107.6
2005-12-01,107.7
2006-01-01,108.5
2006-02-01,108.6
2006-03-01,108.8
2006-04-01,109.6
2006-05-01,110.4
2006-06-01,111.2
2006-07-01,111.6
2006-08-01,112.1
2006-09-01,111.7
2006-10-01,111.4
2006-11-01,111.8
2006-12-01,112.5
2007-01-01,113.0
2007-02-01,113.9
2007-03-01,114.7
2007-04-01,115.2
2007-05-01,115.5
2007-06-01,116.0
2007-07-01,116.1
2007-08-01,116.3
2007-09-01,116.7
2007-10-01,117.6
2007-11-01,118.7
2007-12-01,119.3
2008-01-01,120.7
2008-02-01,121.8
2008-03-01,123.8
2008-04-01,124.4
2008-05-01,124.8
2008-06-01,126.1
2008-07-01,128.0
2008-08-01,125.9
2008-09-01,124.9
2008-10-01,122.3
2008-11-01,118.4
2008-12-01,115.8
2009-01-01,116.6
2009-02-01,116.3
2009-03-01,115.5
2009-04-01,116.1
2009-05-01,116.6
2009-06-01,117.8
2009-07-01,117.4
2009-08-01,118.1
2009-09-01,117.9
2009-10-01,117.9
2009-11-01,118.9
2009-12-01,119.7
2010-01-01,120.7
2010-02-01,120.3
2010-03-01,121.2
2010-04-01,122.5
2010-05-01,123.1
2010-06-01,122.2
2010-07-01,122.0
2010-08-01,123.0
2010-09-01,123.7
2010-10-01,124.7
2010-11-01,126.6
2010-12-01,127.5
2011-01-01,129.1
2011-02-01,130.8
2011-03-01,132.7
2011-04-01,133.8
2011-05-01,134.3
2011-06-01,134.5
2011-07-01,134.0
2011-08-01,134.6
2011-09-01,135.3
2011-10-01,132.6
2011-11-01,132.7
2011-12-01,132.1
2012-01-01,132.5
2012-02-01,133.1
2012-03-01,134.1
2012-04-01,134.7
2012-05-01,134.0
2012-06-01,131.7
2012-07-01,132.2
2012-08-01,133.4
2012-09-01,134.5
2012-10-01,134.6
2012-11-01,133.8
2012-12-01,133.6
2013-01-01,134.1
2013-02-01,135.1
2013-03-01,134.4
2013-04-01,133.6
2013-05-01,132.9
2013-06-01,132.8
2013-07-01,132.6
2013-08-01,131.9
2013-09-01,132.4
2013-10-01,131.6
2013-11-01,131.8
2013-12-01,132.3
2014-01-01,132.7
2014-02-01,133.7
2014-03-01,134.9
2014-04-01,133.5
2014-05-01,133.7
2014-06-01,133.0
2014-07-01,133.1
2014-08-01,132.4
2014-09-01,131.9
2014-10-01,130.7
2014-11-01,129.5
2014-12-01,128.3
2015-01-01,126.1
2015-02-01,125.9
2015-03-01,125.9
2015-04-01,125.1
2015-05-01,125.7
2015-06-01,125.3
2015-07-01,124.8
2015-08-01,123.0
2015-09-01,122.3
2015-10-01,122.0
2015-11-01,121.1
2015-12-01,119.8
2016-01-01,118.7
2016-02-01,118.2
2016-03-01,118.1
2016-04-01,118.7
2016-05-01,120.0
2016-06-01,120.9
2016-07-01,121.1
2016-08-01,120.1
2016-09-01,120.5
2016-10-01,120.7
2016-11-01,120.8
2016-12-01,121.3
2017-01-01,121.6
2017-02-01,122.0
2017-03-01,122.1
2017-04-01,122.4
2017-05-01,121.7
2017-06-01,121.6
2017-07-01,122.2
2017-08-01,122.9
2017-09-01,123.9
2017-10-01,124.0
2017-11-01,124.6
2017-12-01,124.7
2018-01-01,125.6
2018-02-01,125.8
2018-03-01,126.3
2018-04-01,126.9
2018-05-01,127.8
2018-06-01,128.0
2018-07-01,127.4
2018-08-01,127.3
2018-09-01,127.3
2018-10-01,127.9
2018-11-01,126.9
2018-12-01,126.1
2019-01-01,125.3
2019-02-01,126.1
2019-03-01,127.0
2019-04-01,127.1
2019-05-01,126.7
2019-06-01,126.0
2019-07-01,126.2
2019-08-01,125.5
2019-09-01,125.1
2019-10-01,125.1
2019-11-01,125.2
2019-12-01,125.0
2020-01-01,125.8
2020-02-01,124.3
2020-03-01,122.5
2020-04-01,118.2
2020-05-01,118.2
2020-06-01,120.3
2020-07-01,121.5
2020-08-01,122.1
2020-09-01,122.8
2020-10-01,123.0
2020-11-01,124.0
2020-12-01,125.5
2021-01-01,128.9
2021-02-01,131.0
2021-03-01,134.1
2021-04-01,135.2
