 > Series Values,,,,,
Sep-30-1984,7.3,NM,NM,NM,Actual
Aug-31-1984,7.5,NM,NM,NM,Actual
Jul-31-1984,7.5,NM,NM,NM,Actual
Jun-30-1984,7.2,NM,NM,NM,Actual
May-31-1984,7.4,NM,NM,NM,Actual
Apr-30-1984,7.7,NM,NM,NM,Actual
Mar-31-1984,7.8,NM,NM,NM,Actual
Feb-29-1984,7.8,NM,NM,NM,Actual
Jan-31-1984,8,NM,NM,NM,Actual
Dec-31-1983,8.3,NM,NM,NM,Actual
Nov-30-1983,8.5,NM,NM,NM,Actual
Oct-31-1983,8.8,NM,NM,NM,Actual
Sep-30-1983,9.2,NM,NM,NM,Actual
Aug-31-1983,9.5,NM,NM,NM,Actual
Jul-31-1983,9.4,NM,NM,NM,Actual
Jun-30-1983,10.1,NM,NM,NM,Actual
May-31-1983,10.1,NM,NM,NM,Actual
Apr-30-1983,10.2,NM,NM,NM,Actual
Mar-31-1983,10.3,NM,NM,NM,Actual
Feb-28-1983,10.4,NM,NM,NM,Actual
Jan-31-1983,10.4,NM,NM,NM,Actual
Dec-31-1982,10.8,NM,NM,NM,Actual
Nov-30-1982,10.8,NM,NM,NM,Actual
Oct-31-1982,10.4,NM,NM,NM,Actual
Sep-30-1982,10.1,NM,NM,NM,Actual
Aug-31-1982,9.8,NM,NM,NM,Actual
Jul-31-1982,9.8,NM,NM,NM,Actual
Jun-30-1982,9.6,NM,NM,NM,Actual
May-31-1982,9.4,NM,NM,NM,Actual
Apr-30-1982,9.3,NM,NM,NM,Actual
Mar-31-1982,9,NM,NM,NM,Actual
Feb-28-1982,8.9,NM,NM,NM,Actual
Jan-31-1982,8.6,NM,NM,NM,Actual
Dec-31-1981,8.5,NM,NM,NM,Actual
Nov-30-1981,8.3,NM,NM,NM,Actual
Oct-31-1981,7.9,NM,NM,NM,Actual
Sep-30-1981,7.6,NM,NM,NM,Actual
Aug-31-1981,7.4,NM,NM,NM,Actual
Jul-31-1981,7.2,NM,NM,NM,Actual
Jun-30-1981,7.5,NM,NM,NM,Actual
May-31-1981,7.5,NM,NM,NM,Actual
Apr-30-1981,7.2,NM,NM,NM,Actual
Mar-31-1981,7.4,NM,NM,NM,Actual
Feb-28-1981,7.4,NM,NM,NM,Actual
Jan-31-1981,7.5,NM,NM,NM,Actual
Dec-31-1980,7.2,NM,NM,NM,Actual
Nov-30-1980,7.5,NM,NM,NM,Actual
Oct-31-1980,7.5,NM,NM,NM,Actual
Sep-30-1980,7.5,NM,NM,NM,Actual
Aug-31-1980,7.7,NM,NM,NM,Actual
Jul-31-1980,7.8,NM,NM,NM,Actual
Jun-30-1980,7.6,NM,NM,NM,Actual
May-31-1980,7.5,NM,NM,NM,Actual
Apr-30-1980,6.9,NM,NM,NM,Actual
Mar-31-1980,6.3,NM,NM,NM,Actual
Feb-29-1980,6.3,NM,NM,NM,Actual
Jan-31-1980,6.3,NM,NM,NM,Actual
Dec-31-1979,6,NM,NM,NM,Actual
Nov-30-1979,5.9,NM,NM,NM,Actual
Oct-31-1979,6,NM,NM,NM,Actual
Sep-30-1979,5.9,NM,NM,NM,Actual
Aug-31-1979,6,NM,NM,NM,Actual
Jul-31-1979,5.7,NM,NM,NM,Actual
Jun-30-1979,5.7,NM,NM,NM,Actual
May-31-1979,5.6,NM,NM,NM,Actual
Apr-30-1979,5.8,NM,NM,NM,Actual
Mar-31-1979,5.8,NM,NM,NM,Actual
Feb-28-1979,5.9,NM,NM,NM,Actual
Jan-31-1979,5.9,NM,NM,NM,Actual
Dec-31-1978,6,NM,NM,NM,Actual
Nov-30-1978,5.9,NM,NM,NM,Actual
Oct-31-1978,5.8,NM,NM,NM,Actual
Sep-30-1978,6,NM,NM,NM,Actual
Aug-31-1978,5.9,NM,NM,NM,Actual
Jul-31-1978,6.2,NM,NM,NM,Actual
Jun-30-1978,5.9,NM,NM,NM,Actual
May-31-1978,6,NM,NM,NM,Actual
Apr-30-1978,6.1,NM,NM,NM,Actual
Mar-31-1978,6.3,NM,NM,NM,Actual
Feb-28-1978,6.3,NM,NM,NM,Actual
Jan-31-1978,6.4,NM,NM,NM,Actual
Dec-31-1977,6.4,NM,NM,NM,Actual
Nov-30-1977,6.8,NM,NM,NM,Actual
Oct-31-1977,6.8,NM,NM,NM,Actual
Sep-30-1977,6.8,NM,NM,NM,Actual
Aug-31-1977,7,NM,NM,NM,Actual
Jul-31-1977,6.9,NM,NM,NM,Actual
Jun-30-1977,7.2,NM,NM,NM,Actual
May-31-1977,7,NM,NM,NM,Actual
Apr-30-1977,7.2,NM,NM,NM,Actual
Mar-31-1977,7.4,NM,NM,NM,Actual
Feb-28-1977,7.6,NM,NM,NM,Actual
Jan-31-1977,7.5,NM,NM,NM,Actual
Dec-31-1976,7.8,NM,NM,NM,Actual
Nov-30-1976,7.8,NM,NM,NM,Actual
Oct-31-1976,7.7,NM,NM,NM,Actual
Sep-30-1976,7.6,NM,NM,NM,Actual
Aug-31-1976,7.8,NM,NM,NM,Actual
Jul-31-1976,7.8,NM,NM,NM,Actual
Jun-30-1976,7.6,NM,NM,NM,Actual
May-31-1976,7.4,NM,NM,NM,Actual
Apr-30-1976,7.7,NM,NM,NM,Actual
Mar-31-1976,7.6,NM,NM,NM,Actual
Feb-29-1976,7.7,NM,NM,NM,Actual
Jan-31-1976,7.9,NM,NM,NM,Actual
Dec-31-1975,8.2,NM,NM,NM,Actual
Nov-30-1975,8.3,NM,NM,NM,Actual
Oct-31-1975,8.4,NM,NM,NM,Actual
Sep-30-1975,8.4,NM,NM,NM,Actual
Aug-31-1975,8.4,NM,NM,NM,Actual
Jul-31-1975,8.6,NM,NM,NM,Actual
Jun-30-1975,8.8,NM,NM,NM,Actual
May-31-1975,9,NM,NM,NM,Actual
Apr-30-1975,8.8,NM,NM,NM,Actual
Mar-31-1975,8.6,NM,NM,NM,Actual
Feb-28-1975,8.1,NM,NM,NM,Actual
Jan-31-1975,8.1,NM,NM,NM,Actual
Dec-31-1974,7.2,NM,NM,NM,Actual
Nov-30-1974,6.6,NM,NM,NM,Actual
Oct-31-1974,6,NM,NM,NM,Actual
Sep-30-1974,5.9,NM,NM,NM,Actual
Aug-31-1974,5.5,NM,NM,NM,Actual
Jul-31-1974,5.5,NM,NM,NM,Actual
Jun-30-1974,5.4,NM,NM,NM,Actual
May-31-1974,5.1,NM,NM,NM,Actual
Apr-30-1974,5.1,NM,NM,NM,Actual
Mar-31-1974,5.1,NM,NM,NM,Actual
Feb-28-1974,5.2,NM,NM,NM,Actual
Jan-31-1974,5.1,NM,NM,NM,Actual
Dec-31-1973,4.9,NM,NM,NM,Actual
Nov-30-1973,4.8,NM,NM,NM,Actual
Oct-31-1973,4.6,NM,NM,NM,Actual
Sep-30-1973,4.8,NM,NM,NM,Actual
Aug-31-1973,4.8,NM,NM,NM,Actual
Jul-31-1973,4.8,NM,NM,NM,Actual
Jun-30-1973,4.9,NM,NM,NM,Actual
May-31-1973,4.9,NM,NM,NM,Actual
Apr-30-1973,5,NM,NM,NM,Actual
Mar-31-1973,4.9,NM,NM,NM,Actual
Feb-28-1973,5,NM,NM,NM,Actual
Jan-31-1973,4.9,NM,NM,NM,Actual
Dec-31-1972,5.2,NM,NM,NM,Actual
Nov-30-1972,5.3,NM,NM,NM,Actual
Oct-31-1972,5.6,NM,NM,NM,Actual
Sep-30-1972,5.5,NM,NM,NM,Actual
Aug-31-1972,5.6,NM,NM,NM,Actual
Jul-31-1972,5.6,NM,NM,NM,Actual
Jun-30-1972,5.7,NM,NM,NM,Actual
May-31-1972,5.7,NM,NM,NM,Actual
Apr-30-1972,5.7,NM,NM,NM,Actual
Mar-31-1972,5.8,NM,NM,NM,Actual
Feb-29-1972,5.7,NM,NM,NM,Actual
Jan-31-1972,5.8,NM,NM,NM,Actual
Dec-31-1971,6,NM,NM,NM,Actual
Nov-30-1971,6,NM,NM,NM,Actual
Oct-31-1971,5.8,NM,NM,NM,Actual
Sep-30-1971,6,NM,NM,NM,Actual
Aug-31-1971,6.1,NM,NM,NM,Actual
Jul-31-1971,6,NM,NM,NM,Actual
Jun-30-1971,5.9,NM,NM,NM,Actual
May-31-1971,5.9,NM,NM,NM,Actual
Apr-30-1971,5.9,NM,NM,NM,Actual
Mar-31-1971,6,NM,NM,NM,Actual
Feb-28-1971,5.9,NM,NM,NM,Actual
Jan-31-1971,5.9,NM,NM,NM,Actual
Dec-31-1970,6.1,NM,NM,NM,Actual
Nov-30-1970,5.9,NM,NM,NM,Actual
Oct-31-1970,5.5,NM,NM,NM,Actual
Sep-30-1970,5.4,NM,NM,NM,Actual
Aug-31-1970,5.1,NM,NM,NM,Actual
Jul-31-1970,5,NM,NM,NM,Actual
Jun-30-1970,4.9,NM,NM,NM,Actual
May-31-1970,4.8,NM,NM,NM,Actual
Apr-30-1970,4.6,NM,NM,NM,Actual
Mar-31-1970,4.4,NM,NM,NM,Actual
Feb-28-1970,4.2,NM,NM,NM,Actual
Jan-31-1970,3.9,NM,NM,NM,Actual
Dec-31-1969,3.5,NM,NM,NM,Actual
Nov-30-1969,3.5,NM,NM,NM,Actual
Oct-31-1969,3.7,NM,NM,NM,Actual
Sep-30-1969,3.7,NM,NM,NM,Actual
Aug-31-1969,3.5,NM,NM,NM,Actual
Jul-31-1969,3.5,NM,NM,NM,Actual
Jun-30-1969,3.5,NM,NM,NM,Actual
May-31-1969,3.4,NM,NM,NM,Actual
Apr-30-1969,3.4,NM,NM,NM,Actual
Mar-31-1969,3.4,NM,NM,NM,Actual
Feb-28-1969,3.4,NM,NM,NM,Actual
Jan-31-1969,3.4,NM,NM,NM,Actual
Dec-31-1968,3.4,NM,NM,NM,Actual
Nov-30-1968,3.4,NM,NM,NM,Actual
Oct-31-1968,3.4,NM,NM,NM,Actual
Sep-30-1968,3.4,NM,NM,NM,Actual
Aug-31-1968,3.5,NM,NM,NM,Actual
Jul-31-1968,3.7,NM,NM,NM,Actual
Jun-30-1968,3.7,NM,NM,NM,Actual
May-31-1968,3.5,NM,NM,NM,Actual
Apr-30-1968,3.5,NM,NM,NM,Actual
Mar-31-1968,3.7,NM,NM,NM,Actual
Feb-29-1968,3.8,NM,NM,NM,Actual
Jan-31-1968,3.7,NM,NM,NM,Actual
Dec-31-1967,3.8,NM,NM,NM,Actual
Nov-30-1967,3.9,NM,NM,NM,Actual
Oct-31-1967,4,NM,NM,NM,Actual
Sep-30-1967,3.8,NM,NM,NM,Actual
Aug-31-1967,3.8,NM,NM,NM,Actual
Jul-31-1967,3.8,NM,NM,NM,Actual
Jun-30-1967,3.9,NM,NM,NM,Actual
May-31-1967,3.8,NM,NM,NM,Actual
Apr-30-1967,3.8,NM,NM,NM,Actual
Mar-31-1967,3.8,NM,NM,NM,Actual
Feb-28-1967,3.8,NM,NM,NM,Actual
Jan-31-1967,3.9,NM,NM,NM,Actual
Dec-31-1966,3.8,NM,NM,NM,Actual
Nov-30-1966,3.6,NM,NM,NM,Actual
Oct-31-1966,3.7,NM,NM,NM,Actual
Sep-30-1966,3.7,NM,NM,NM,Actual
Aug-31-1966,3.8,NM,NM,NM,Actual
Jul-31-1966,3.8,NM,NM,NM,Actual
Jun-30-1966,3.8,NM,NM,NM,Actual
May-31-1966,3.9,NM,NM,NM,Actual
Apr-30-1966,3.8,NM,NM,NM,Actual
Mar-31-1966,3.8,NM,NM,NM,Actual
Feb-28-1966,3.8,NM,NM,NM,Actual
Jan-31-1966,4,NM,NM,NM,Actual
Dec-31-1965,4,NM,NM,NM,Actual
Nov-30-1965,4.1,NM,NM,NM,Actual
Oct-31-1965,4.2,NM,NM,NM,Actual
Sep-30-1965,4.3,NM,NM,NM,Actual
Aug-31-1965,4.4,NM,NM,NM,Actual
Jul-31-1965,4.4,NM,NM,NM,Actual
Jun-30-1965,4.6,NM,NM,NM,Actual
May-31-1965,4.6,NM,NM,NM,Actual
Apr-30-1965,4.8,NM,NM,NM,Actual
Mar-31-1965,4.7,NM,NM,NM,Actual
Feb-28-1965,5.1,NM,NM,NM,Actual
Jan-31-1965,4.9,NM,NM,NM,Actual
Dec-31-1964,5,NM,NM,NM,Actual
Nov-30-1964,4.8,NM,NM,NM,Actual
Oct-31-1964,5.1,NM,NM,NM,Actual
Sep-30-1964,5.1,NM,NM,NM,Actual
Aug-31-1964,5,NM,NM,NM,Actual
Jul-31-1964,4.9,NM,NM,NM,Actual
Jun-30-1964,5.2,NM,NM,NM,Actual
May-31-1964,5.1,NM,NM,NM,Actual
Apr-30-1964,5.3,NM,NM,NM,Actual
Mar-31-1964,5.4,NM,NM,NM,Actual
Feb-29-1964,5.4,NM,NM,NM,Actual
Jan-31-1964,5.6,NM,NM,NM,Actual
Dec-31-1963,5.5,NM,NM,NM,Actual
Nov-30-1963,5.7,NM,NM,NM,Actual
Oct-31-1963,5.5,NM,NM,NM,Actual
Sep-30-1963,5.5,NM,NM,NM,Actual
Aug-31-1963,5.4,NM,NM,NM,Actual
Jul-31-1963,5.6,NM,NM,NM,Actual
Jun-30-1963,5.6,NM,NM,NM,Actual
May-31-1963,5.9,NM,NM,NM,Actual
Apr-30-1963,5.7,NM,NM,NM,Actual
Mar-31-1963,5.7,NM,NM,NM,Actual
Feb-28-1963,5.9,NM,NM,NM,Actual
Jan-31-1963,5.7,NM,NM,NM,Actual
Dec-31-1962,5.5,NM,NM,NM,Actual
Nov-30-1962,5.7,NM,NM,NM,Actual
Oct-31-1962,5.4,NM,NM,NM,Actual
Sep-30-1962,5.6,NM,NM,NM,Actual
Aug-31-1962,5.7,NM,NM,NM,Actual
Jul-31-1962,5.4,NM,NM,NM,Actual
Jun-30-1962,5.5,NM,NM,NM,Actual
May-31-1962,5.5,NM,NM,NM,Actual
Apr-30-1962,5.6,NM,NM,NM,Actual
Mar-31-1962,5.6,NM,NM,NM,Actual
Feb-28-1962,5.5,NM,NM,NM,Actual
Jan-31-1962,5.8,NM,NM,NM,Actual
Dec-31-1961,6,NM,NM,NM,Actual
Nov-30-1961,6.1,NM,NM,NM,Actual
Oct-31-1961,6.5,NM,NM,NM,Actual
Sep-30-1961,6.7,NM,NM,NM,Actual
Aug-31-1961,6.6,NM,NM,NM,Actual
Jul-31-1961,7,NM,NM,NM,Actual
Jun-30-1961,6.9,NM,NM,NM,Actual
May-31-1961,7.1,NM,NM,NM,Actual
Apr-30-1961,7,NM,NM,NM,Actual
Mar-31-1961,6.9,NM,NM,NM,Actual
Feb-28-1961,6.9,NM,NM,NM,Actual
Jan-31-1961,6.6,NM,NM,NM,Actual
Dec-31-1960,6.6,NM,NM,NM,Actual
Nov-30-1960,6.1,NM,NM,NM,Actual
Oct-31-1960,6.1,NM,NM,NM,Actual
Sep-30-1960,5.5,NM,NM,NM,Actual
Aug-31-1960,5.6,NM,NM,NM,Actual
Jul-31-1960,5.5,NM,NM,NM,Actual
Jun-30-1960,5.4,NM,NM,NM,Actual
May-31-1960,5.1,NM,NM,NM,Actual
Apr-30-1960,5.2,NM,NM,NM,Actual
Mar-31-1960,5.4,NM,NM,NM,Actual
Feb-29-1960,4.8,NM,NM,NM,Actual
Jan-31-1960,5.2,NM,NM,NM,Actual
Dec-31-1959,5.3,NM,NM,NM,Actual
Nov-30-1959,5.8,NM,NM,NM,Actual
Oct-31-1959,5.7,NM,NM,NM,Actual
Sep-30-1959,5.5,NM,NM,NM,Actual
Aug-31-1959,5.2,NM,NM,NM,Actual
Jul-31-1959,5.1,NM,NM,NM,Actual
Jun-30-1959,5,NM,NM,NM,Actual
May-31-1959,5.1,NM,NM,NM,Actual
Apr-30-1959,5.2,NM,NM,NM,Actual
Mar-31-1959,5.6,NM,NM,NM,Actual
Feb-28-1959,5.9,NM,NM,NM,Actual
Jan-31-1959,6,NM,NM,NM,Actual
Dec-31-1958,6.2,NM,NM,NM,Actual
Nov-30-1958,6.2,NM,NM,NM,Actual
Oct-31-1958,6.7,NM,NM,NM,Actual
Sep-30-1958,7.1,NM,NM,NM,Actual
Aug-31-1958,7.4,NM,NM,NM,Actual
Jul-31-1958,7.5,NM,NM,NM,Actual
Jun-30-1958,7.3,NM,NM,NM,Actual
May-31-1958,7.4,NM,NM,NM,Actual
Apr-30-1958,7.4,NM,NM,NM,Actual
Mar-31-1958,6.7,NM,NM,NM,Actual
Feb-28-1958,6.4,NM,NM,NM,Actual
Jan-31-1958,5.8,NM,NM,NM,Actual
Dec-31-1957,5.2,NM,NM,NM,Actual
Nov-30-1957,5.1,NM,NM,NM,Actual
Oct-31-1957,4.5,NM,NM,NM,Actual
Sep-30-1957,4.4,NM,NM,NM,Actual
Aug-31-1957,4.1,NM,NM,NM,Actual
Jul-31-1957,4.2,NM,NM,NM,Actual
Jun-30-1957,4.3,NM,NM,NM,Actual
May-31-1957,4.1,NM,NM,NM,Actual
Apr-30-1957,3.9,NM,NM,NM,Actual
Mar-31-1957,3.7,NM,NM,NM,Actual
Feb-28-1957,3.9,NM,NM,NM,Actual
Jan-31-1957,4.2,NM,NM,NM,Actual
Dec-31-1956,4.2,NM,NM,NM,Actual
Nov-30-1956,4.3,NM,NM,NM,Actual
Oct-31-1956,3.9,NM,NM,NM,Actual
Sep-30-1956,3.9,NM,NM,NM,Actual
Aug-31-1956,4.1,NM,NM,NM,Actual
Jul-31-1956,4.4,NM,NM,NM,Actual
Jun-30-1956,4.3,NM,NM,NM,Actual
May-31-1956,4.3,NM,NM,NM,Actual
Apr-30-1956,4,NM,NM,NM,Actual
Mar-31-1956,4.2,NM,NM,NM,Actual
Feb-29-1956,3.9,NM,NM,NM,Actual
Jan-31-1956,4,NM,NM,NM,Actual
Dec-31-1955,4.2,NM,NM,NM,Actual
Nov-30-1955,4.2,NM,NM,NM,Actual
Oct-31-1955,4.3,NM,NM,NM,Actual
Sep-30-1955,4.1,NM,NM,NM,Actual
Aug-31-1955,4.2,NM,NM,NM,Actual
Jul-31-1955,4,NM,NM,NM,Actual
Jun-30-1955,4.2,NM,NM,NM,Actual
May-31-1955,4.3,NM,NM,NM,Actual
Apr-30-1955,4.7,NM,NM,NM,Actual
Mar-31-1955,4.6,NM,NM,NM,Actual
Feb-28-1955,4.7,NM,NM,NM,Actual
Jan-31-1955,4.9,NM,NM,NM,Actual
Dec-31-1954,5,NM,NM,NM,Actual
Nov-30-1954,5.3,NM,NM,NM,Actual
Oct-31-1954,5.7,NM,NM,NM,Actual
Sep-30-1954,6.1,NM,NM,NM,Actual
Aug-31-1954,6,NM,NM,NM,Actual
Jul-31-1954,5.8,NM,NM,NM,Actual
Jun-30-1954,5.6,NM,NM,NM,Actual
May-31-1954,5.9,NM,NM,NM,Actual
Apr-30-1954,5.9,NM,NM,NM,Actual
Mar-31-1954,5.7,NM,NM,NM,Actual
Feb-28-1954,5.2,NM,NM,NM,Actual
Jan-31-1954,4.9,NM,NM,NM,Actual
Dec-31-1953,4.5,NM,NM,NM,Actual
Nov-30-1953,3.5,NM,NM,NM,Actual
Oct-31-1953,3.1,NM,NM,NM,Actual
Sep-30-1953,2.9,NM,NM,NM,Actual
Aug-31-1953,2.7,NM,NM,NM,Actual
Jul-31-1953,2.6,NM,NM,NM,Actual
Jun-30-1953,2.5,NM,NM,NM,Actual
May-31-1953,2.5,NM,NM,NM,Actual
Apr-30-1953,2.7,NM,NM,NM,Actual
Mar-31-1953,2.6,NM,NM,NM,Actual
Feb-28-1953,2.6,NM,NM,NM,Actual
Jan-31-1953,2.9,NM,NM,NM,Actual
Dec-31-1952,2.7,NM,NM,NM,Actual
Nov-30-1952,2.8,NM,NM,NM,Actual
Oct-31-1952,3,NM,NM,NM,Actual
Sep-30-1952,3.1,NM,NM,NM,Actual
Aug-31-1952,3.4,NM,NM,NM,Actual
Jul-31-1952,3.2,NM,NM,NM,Actual
Jun-30-1952,3,NM,NM,NM,Actual
May-31-1952,3,NM,NM,NM,Actual
Apr-30-1952,2.9,NM,NM,NM,Actual
Mar-31-1952,2.9,NM,NM,NM,Actual
Feb-29-1952,3.1,NM,NM,NM,Actual
Jan-31-1952,3.2,NM,NM,NM,Actual
Dec-31-1951,3.1,NM,NM,NM,Actual
Nov-30-1951,3.5,NM,NM,NM,Actual
Oct-31-1951,3.5,NM,NM,NM,Actual
Sep-30-1951,3.3,NM,NM,NM,Actual
Aug-31-1951,3.1,NM,NM,NM,Actual
Jul-31-1951,3.1,NM,NM,NM,Actual
Jun-30-1951,3.2,NM,NM,NM,Actual
May-31-1951,3,NM,NM,NM,Actual
Apr-30-1951,3.1,NM,NM,NM,Actual
Mar-31-1951,3.4,NM,NM,NM,Actual
Feb-28-1951,3.4,NM,NM,NM,Actual
Jan-31-1951,3.7,NM,NM,NM,Actual
Dec-31-1950,4.3,NM,NM,NM,Actual
Nov-30-1950,4.2,NM,NM,NM,Actual
Oct-31-1950,4.2,NM,NM,NM,Actual
Sep-30-1950,4.4,NM,NM,NM,Actual
Aug-31-1950,4.5,NM,NM,NM,Actual
Jul-31-1950,5,NM,NM,NM,Actual
Jun-30-1950,5.4,NM,NM,NM,Actual
May-31-1950,5.5,NM,NM,NM,Actual
Apr-30-1950,5.8,NM,NM,NM,Actual
Mar-31-1950,6.3,NM,NM,NM,Actual
Feb-28-1950,6.4,NM,NM,NM,Actual
Jan-31-1950,6.5,NM,NM,NM,Actual
Dec-31-1949,6.6,NM,NM,NM,Actual
Nov-30-1949,6.4,NM,NM,NM,Actual
Oct-31-1949,7.9,NM,NM,NM,Actual
Sep-30-1949,6.6,NM,NM,NM,Actual
Aug-31-1949,6.8,NM,NM,NM,Actual
Jul-31-1949,6.7,NM,NM,NM,Actual
Jun-30-1949,6.2,NM,NM,NM,Actual
May-31-1949,6.1,NM,NM,NM,Actual
Apr-30-1949,5.3,NM,NM,NM,Actual
Mar-31-1949,5,NM,NM,NM,Actual
Feb-28-1949,4.7,NM,NM,NM,Actual
Jan-31-1949,4.3,NM,NM,NM,Actual
Dec-31-1948,4,NM,NM,NM,Actual
Nov-30-1948,3.8,NM,NM,NM,Actual
Oct-31-1948,3.7,NM,NM,NM,Actual
Sep-30-1948,3.8,NM,NM,NM,Actual
Aug-31-1948,3.9,NM,NM,NM,Actual
Jul-31-1948,3.6,NM,NM,NM,Actual
Jun-30-1948,3.6,NM,NM,NM,Actual
May-31-1948,3.5,NM,NM,NM,Actual
Apr-30-1948,3.9,NM,NM,NM,Actual
Mar-31-1948,4,NM,NM,NM,Actual
Feb-29-1948,3.8,NM,NM,NM,Actual
Jan-31-1948,3.4,NM,NM,NM,Actual
,,,,,
Economic Time Series Data Provided By:,,,,,
